x,y,phi_LBM,phi_exact,error
0.0,0.6161616161616162,1.4971492986304892e-05,0.0,1.4971492986304892e-05
0.0,0.6262626262626263,1.478247869791834e-05,0.0,1.478247869791834e-05
0.0,0.6363636363636365,1.4578579706540052e-05,0.0,1.4578579706540052e-05
0.0,0.6464646464646465,1.4360001321170557e-05,0.0,1.4360001321170557e-05
0.0,0.6565656565656566,1.4126963631715836e-05,0.0,1.4126963631715836e-05
0.0,0.6666666666666667,1.3879701287375404e-05,0.0,1.3879701287375404e-05
0.0,0.6767676767676768,1.3618463260370488e-05,0.0,1.3618463260370488e-05
0.0,0.686868686868687,1.3343512595250079e-05,0.0,1.3343512595250079e-05
0.0,0.696969696969697,1.3055126144027383e-05,0.0,1.3055126144027383e-05
0.0,0.7070707070707072,1.27535942874133e-05,0.0,1.27535942874133e-05
0.0,0.7171717171717172,1.2439220642427693e-05,0.0,1.2439220642427693e-05
0.0,0.7272727272727273,1.2112321756682745e-05,0.0,1.2112321756682745e-05
0.0,0.7373737373737375,1.1773226789646369e-05,0.0,1.1773226789646369e-05
0.0,0.7474747474747475,1.1422277181206513e-05,0.0,1.1422277181206513e-05
0.0,0.7575757575757577,1.1059826307870166e-05,0.0,1.1059826307870166e-05
0.0,0.7676767676767677,1.0686239126943126e-05,0.0,1.0686239126943126e-05
0.0,0.7777777777777778,1.0301891809048957e-05,0.0,1.0301891809048957e-05
0.0,0.787878787878788,9.907171359357043e-06,0.0,9.907171359357043e-06
0.0,0.797979797979798,9.502475227901219e-06,0.0,9.502475227901219e-06
0.0,0.8080808080808082,9.088210909381234e-06,0.0,9.088210909381234e-06
0.0,0.8181818181818182,8.664795532850147e-06,0.0,8.664795532850147e-06
0.0,0.8282828282828284,8.23265544170075e-06,0.0,8.23265544170075e-06
0.0,0.8383838383838385,7.792225764373882e-06,0.0,7.792225764373882e-06
0.0,0.8484848484848485,7.3439499762209826e-06,0.0,7.3439499762209826e-06
0.0,0.8585858585858587,6.888279452962005e-06,0.0,6.888279452962005e-06
0.0,0.8686868686868687,6.4256730161883485e-06,0.0,6.4256730161883485e-06
0.0,0.8787878787878789,5.956596471368369e-06,0.0,5.956596471368369e-06
0.0,0.888888888888889,5.481522138820782e-06,0.0,5.481522138820782e-06
0.0,0.8989898989898991,5.000928378128132e-06,0.0,5.000928378128132e-06
0.0,0.9090909090909092,4.515299106469261e-06,0.0,4.515299106469261e-06
0.0,0.9191919191919192,4.0251233113556905e-06,0.0,4.0251233113556905e-06
0.0,0.9292929292929294,3.530894558262677e-06,0.0,3.530894558262677e-06
0.0,0.9393939393939394,3.0331104936506027e-06,0.0,3.0331104936506027e-06
0.0,0.9494949494949496,2.5322723438771962e-06,0.0,2.5322723438771962e-06
0.0,0.9595959595959597,2.028884410505041e-06,0.0,2.028884410505041e-06
0.0,0.9696969696969697,1.5234535625126663e-06,0.0,1.5234535625126663e-06
0.0,0.9797979797979799,1.0164887259204777e-06,0.0,1.0164887259204777e-06
0.0,0.98989898989899,5.085003713453468e-07,0.0,5.085003713453468e-07
0.0,1.0,1.962729000838476e-21,0.0,1.962729000838476e-21
0.010101010101010102,0.0,5.085003713453467e-07,0.0,5.085003713453467e-07
0.010101010101010102,0.010101010101010102,0.0006490780244490011,0.0010066617640578032,0.0003575837396088021
0.010101010101010102,0.020202020202020204,0.0014751597049947659,0.0020123099050502642,0.0005371502000554983
0.010101010101010102,0.030303030303030304,0.0022895764460944207,0.0030159318205445463,0.0007263553744501256
0.010101010101010102,0.04040404040404041,0.0031009293622287345,0.004016516948345133,0.0009155875861163983
0.010101010101010102,0.05050505050505051,0.003908650895643058,0.005013057784044299,0.001104406888401241
0.010101010101010102,0.06060606060606061,0.004711852038518177,0.006004550895493645,0.0012926988569754681
0.010101010101010102,0.07070707070707072,0.00550979392735092,0.006989997933175214,0.001480204005824294
0.010101010101010102,0.08080808080808081,0.006301726889502937,0.007968406635454828,0.0016666797459518913
0.010101010101010102,0.09090909090909091,0.007086895535374313,0.008938791827705444,0.001851896292331131
0.010101010101010102,0.10101010101010102,0.007864543578816456,0.009900176414294502,0.002035632835478045
0.010101010101010102,0.11111111111111112,0.0086339164535406,0.010851592362436383,0.002217675908895784
0.010101010101010102,0.12121212121212122,0.009394263472624656,0.01179208167691939,0.0023978182042947334
0.010101010101010102,0.13131313131313133,0.01014483963054239,0.012720697364725697,0.002575857734183307
0.010101010101010102,0.14141414141414144,0.010884907085210518,0.01363650438857307,0.002751597303362552
0.010101010101010102,0.15151515151515152,0.011613736435592239,0.014538580608418129,0.00292484417282589
0.010101010101010102,0.16161616161616163,0.01233060785199588,0.015426017709973218,0.003095409857977337
0.010101010101010102,0.17171717171717174,0.013034812100340744,0.01629792211930189,0.0032631100189611465
0.010101010101010102,0.18181818181818182,0.013725651486757896,0.01715341590257213,0.0034277644158142336
