x,phi_fdm,phi_exact,error_abs
0.5050505050505051,-0.03184307265702343,-0.03172793349806786,0.00011513915895557114
0.5151515151515152,-0.09519275928256657,-0.09505604330418307,0.0001367159783834948
0.5252525252525253,-0.15815934815339786,-0.15800139597335008,0.00015795218004777123
0.5353535353535354,-0.22048929503979964,-0.22031053278654056,0.00017876225325907935
0.5454545454545455,-0.2819316192446268,-0.28173255684142984,0.0001990624031969479
0.5555555555555556,-0.34223891421399183,-0.34202014332566866,0.00021877088832317204
0.5656565656565657,-0.4011683437561372,-0.4009305354066142,0.00023780834952297214
0.5757575757575758,-0.45848261985707156,-0.4582265217274107,0.00025609812966087553
0.5858585858585859,-0.5139509581556532,-0.5136773915734061,0.00027356658224708674
0.595959595959596,-0.5673500072307579,-0.567059863862771,0.0002901433679869392
0.6060606060606061,-0.6184647479586219,-0.6181589862206053,0.0003057617380166633
0.6161616161616162,-0.6670893593189635,-0.6667690005162918,0.00032035880267167194
0.6262626262626263,-0.7130280471635879,-0.7126941713788629,0.0003338757847249907
0.6363636363636365,-0.7560958326103188,-0.7557495743542587,0.00034625825606005023
0.6464646464646465,-0.7961192968876684,-0.7957618405308321,0.000357456356836261
0.6565656565656566,-0.8329372796310243,-0.8325698546347713,0.0003674249962529741
0.6666666666666667,-0.8664015278185565,-0.8660254037844388,0.00037612403411768636
0.6767676767676768,-0.8963772927338118,-0.895993774291336,0.00038351844247586087
0.686868686868687,-0.922743872551236,-0.9223542941045817,0.00038957844665432617
0.696969696969697,-0.9453950983598243,-0.9450008187146683,0.00039427964515592606
0.7070707070707072,-0.9642397616678545,-0.9638421585599422,0.00039760310791236986
0.7171717171717172,-0.9792019816672917,-0.9788024462147787,0.00039953545251292244
0.7272727272727273,-0.9902215107790204,-0.9898214418809327,0.0004000688980877465
0.7373737373737375,-0.9972539772485819,-0.9968547759519424,0.00039920129663950643
0.7474747474747475,-1.0002710638155685,-0.9998741276738751,0.00039693614169344915
0.7575757575757577,-0.9992606217372368,-0.998867339183008,0.0003932825542288798
0.7676767676767677,-0.9942267197072071,-0.9938384644612541,0.0003882552459529842
0.7777777777777778,-0.9851896274722698,-0.9848077530122081,0.0003818744600616597
0.787878787878788,-0.9721857342132697,-0.9718115683235417,0.00037416588972805087
0.797979797979798,-0.9552674020187176,-0.9549022414440739,0.0003651605746437525
0.8080808080808082,-0.9345027550411413,-0.9341478602651064,0.0003548947760348975
0.8181818181818182,-0.9099754051851667,-0.9096319953545182,0.00034340983064851116
0.8282828282828284,-0.8817841154318884,-0.881453363447582,0.00033075198430643216
0.8383838383838385,-0.8500424021552027,-0.8497254299495144,0.00031697220568827067
0.8484848484848485,-0.814878078031435,-0.8145759520503358,0.0003021259810991328
0.8585858585858587,-0.7764327373828026,-0.7761464642917566,0.0002862730910460076
0.8686868686868687,-0.7348611860270541,-0.7345917086575332,0.0002694773695208763
0.8787878787878789,-0.6903308179290791,-0.6900790114821114,0.00025180644696776167
0.888888888888889,-0.6430209411644925,-0.6427876096865389,0.0002333314779535689
0.8989898989898991,-0.5931220559092989,-0.5929079290546402,0.00021412685465871384
0.9090909090909092,-0.5408350873629204,-0.5406408174555974,0.00019426990732296368
0.9191919191919192,-0.4863705766933335,-0.4861967361004688,0.00017384059286468245
0.9292929292929294,-0.42994783326209496,-0.42979491208917114,0.00015292117292381446
0.9393939393939394,-0.37179405154294665,-0.37166245566032724,0.00013159588261940636
0.9494949494949496,-0.31214339628985666,-0.31203344569848623,0.0001099505913704224
0.9595959595959597,-0.2512360596382021,-0.2511479871810794,8.807245712272316e-05
0.9696969696969697,-0.18931729393581434,-0.18925124436041063,6.604957540370937e-05
0.9797979797979799,-0.12663642419833435,-0.12659245357374904,4.397062458530443e-05
0.98989898989899,-0.06344584416537255,-0.06342391965656452,2.1924508808029985e-05
1.0,-2.4492935982947064e-16,-2.4492935982947064e-16,0.0
