x,y,phi_exact,dphi_dx,dphi_dy,laplacian
0.010101010101010102,0.6666666666666667,-0.05492672563016808,-5.430442797896773,-0.19925212005493217,4.3368404241354765
0.010101010101010102,0.6767676767676768,-0.05682743715343568,-5.61836052071728,-0.1769624280146256,4.486914590657421
0.010101010101010102,0.686868686868687,-0.05849932464417626,-5.783655088686197,-0.15396017073449006,4.618921535751337
0.010101010101010102,0.696969696969697,-0.05993565600154681,-5.925660918917995,-0.1303379701860903,4.732329714040353
0.010101010101010102,0.7070707070707072,-0.06113064762611548,-6.043806204054411,-0.10619094463372492,4.826682470817216
0.010101010101010102,0.7171717171717172,-0.06207948770837493,-6.137615214730838,-0.08161632562675204,4.9015998808316
0.010101010101010102,0.7272727272727273,-0.06277835560420111,-6.206710215170589,-0.05671306648245382,4.9567802781150085
0.010101010101010102,0.7373737373737375,-0.06322443721923861,-6.250812984193544,-0.03158144383595382,4.992001470683161
0.010101010101010102,0.7474747474747475,-0.06341593634026538,-6.269745935514644,-0.006322653861600601,5.007121635224686
0.010101010101010102,0.7575757575757577,-0.06335208186790947,-6.263432832821186,0.018961595208312004,5.002079888173541
0.010101010101010102,0.7676767676767677,-0.06303313092159402,-6.2318990967495465,0.044169492626697615,4.976896530865648
0.010101010101010102,0.7777777777777778,-0.06246036780420811,-6.175271702525252,0.06919953508762271,4.931672967792579
0.010101010101010102,0.787878787878788,-0.061636098830672253,-6.093778668678554,0.09395093544429499,4.866591298281452
0.010101010101010102,0.797979797979798,-0.060563643041222304,-5.987748138894298,0.11832402854333002,4.78191358324522
0.010101010101010102,0.8080808080808082,-0.05924731883680576,-5.857607060693108,0.14222067254114992,4.6779807899558605
0.010101010101010102,0.8181818181818182,-0.057692426590405424,-5.7038794662644206,0.16554464408654646,4.55521141908952
0.010101010101010102,0.8282828282828284,-0.05590522730430799,-5.527184362373802,0.18820202577815706,4.414099819571993
0.010101010101010102,0.8383838383838385,-0.05389291739925773,-5.328233237841184,0.21010158433669132,4.255214198010075
0.010101010101010102,0.8484848484848485,-0.05166359973701004,-5.1078271986265,0.23115513796914672,4.079194330724106
0.010101010101010102,0.8585858585858587,-0.049226250992966986,-4.8668537420587255,0.2512779114457663,3.886748987594531
0.010101010101010102,0.8686868686868687,-0.04659068551027383,-4.606283183197386,0.2703888774599664,3.67865307809575
0.010101010101010102,0.8787878787878789,-0.04376751578092289,-4.327164747716252,0.2884110828967051,3.455744531009156
0.010101010101010102,0.888888888888889,-0.04076810971299419,-4.030622347041904,0.305271958695513,3.21892092037969
0.010101010101010102,0.8989898989898991,-0.03760454485610155,-3.7178500527590597,0.3209036120604896,2.969135851301936
0.010101010101010102,0.9090909090909092,-0.03428955976936317,-3.3901072885057637,0.33524309984062894,2.7073951200889863
0.010101010101010102,0.9191919191919192,-0.030836502727720032,-3.0487137587188995,0.3482326819796733,2.434752664285677
0.010101010101010102,0.9292929292929294,-0.027259277973143797,-2.695044134650192,0.3598200540149407,2.1523063188340656
0.010101010101010102,0.9393939393939394,-0.023572289727162063,-2.330522519050288,0.3699585576889358,1.8611933954796174
0.010101010101010102,0.9494949494949496,-0.019790384190141775,-1.9566167118095639,0.37860736882568535,1.56258610321818
0.010101010101010102,0.9595959595959597,-0.015928789760880673,-1.5748322996460695,0.3857316617152853,1.25768682822412
0.010101010101010102,0.9696969696969697,-0.012003055717219541,-1.1867065936391423,0.39130274934474424,0.9477232922655261
0.010101010101010102,0.9797979797979799,-0.008028989604588832,-0.7938024390203224,0.39529819891045914,0.6339436091020052
0.010101010101010102,0.98989898989899,-0.0040225935846023506,-0.39770192214719774,0.3977019221471977,0.31761125877108143
0.010101010101010102,1.0,-1.5534380039358123e-17,-1.5358381778030187e-15,0.3985042401098647,1.2265454848371487e-15
0.020202020202020204,0.0,0.0,0.0,0.7954038442943953,-0.0
0.020202020202020204,0.010101010101010102,0.008028989604588846,0.39529819891045914,0.7938024390203238,-0.6339436091020062
0.020202020202020204,0.020202020202020204,0.016025649301821862,0.789004671491942,0.789004671491942,-1.2653345510366052
0.020202020202020204,0.030303030303030304,0.023957779365469504,1.179534100735609,0.7810298606257443,-1.891630437326125
0.020202020202020204,0.04040404040404041,0.031793439907361346,1.5653139624648251,0.7699101181704294,-2.5103093954837084
0.020202020202020204,0.05050505050505051,0.03950107948804274,1.9447908573350043,0.755690219404221,-3.1188802237037376
0.020202020202020204,0.06060606060606061,0.047049662163285655,2.31643676582451,0.7384274228406258,-3.7148924220522526
0.020202020202020204,0.07070707070707072,0.054408792454882116,2.678755201029963,0.718191239668609,-4.295946059765296
0.020202020202020204,0.08080808080808081,0.06154883774250701,3.0302872344908245,0.6950631538555695,-4.8597014389230555
0.020202020202020204,0.09090909090909091,0.06844104758382158,3.369617370779388,0.6691362940401628,-5.403888515587613
0.020202020202020204,0.10101010101010102,0.0750576694823574,3.695379247201278,0.6405150585361417,-5.92631604046868
0.020202020202020204,0.11111111111111112,0.0813720606370245,4.006261135655767,0.6093146949571943,-6.4248803823110965
0.020202020202020204,0.12121212121212122,0.08735879522326805,4.301011224501873,0.5756608361554791,-6.897573998475442
0.020202020202020204,0.13131313131313133,0.09299376677388993,4.578442659162023,0.5396889943424709,-7.342493518603691
0.020202020202020204,0.14141414141414144,0.09825428524728388,4.837438321166533,0.5015440154291131,-7.757847408819858
0.020202020202020204,0.15151515151515152,0.10311916839222474,5.076955326395418,0.4613794957824574,-8.141963185604608
0.020202020202020204,0.16161616161616163,0.10756882704131804,5.2960292244046565,0.41935716374730375,-8.4932941502961
0.020202020202020204,0.17171717171717174,0.11158534398966317,5.4937778819277305,0.37564622842323747,-8.810425617099597
0.020202020202020204,0.18181818181818182,0.11515254614111377,5.669405034914952,0.33042269831930665,-9.092080609527855
0.020202020202020204,0.19191919191919193,0.11825606963162773,5.822203494807751,0.2838686726298763,-9.33712500233474
0.020202020202020204,0.20202020202020204,0.12088341766747805,5.951557996137406,0.2361716079854444,-9.544572088237315
0.020202020202020204,0.21212121212121213,0.12302401084543041,6.056947673981921,0.18752356363095288,-9.7135865510378
0.020202020202020204,0.22222222222222224,0.12466922975226628,6.1379481613052524,0.13812042807099245,-9.8434878291471
0.020202020202020204,0.23232323232323235,0.12581244967211758,6.194233297733563,0.08816113029593471,-9.93375285596612
0.020202020202020204,0.24242424242424243,0.1264490672618594,6.225576442887946,0.03784683876509702,-9.984018166090333
0.020202020202020204,0.25252525252525254,0.12657651908714806,6.231851388985232,-0.012619848627642151,-9.994081358856702
0.020202020202020204,0.26262626262626265,0.1261942919444665,6.21303286903219,-0.06303572034405458,-9.963901913339694
0.020202020202020204,0.27272727272727276,0.12530392492761352,6.169196658566792,-0.11319776946270621,-9.893601351514759
0.020202020202020204,0.2828282828282829,0.12390900323031658,6.100519270536863,-0.16290401111617905,-9.783462748932223
0.020202020202020204,0.29292929292929293,0.12201514370992175,6.007277244544748,-0.21195429581284214,-9.633929594871955
0.020202020202020204,0.30303030303030304,0.1196299722702917,5.88984603331992,-0.26015111536821545,-9.445604006568551
0.020202020202020204,0.31313131313131315,0.1167630931549825,5.74869849090337,-0.30730039820071586,-9.219244304697776
0.020202020202020204,0.32323232323232326,0.11342605027434431,5.584402968631262,-0.3532122907894227,-8.95576195988681
0.020202020202020204,0.33333333333333337,0.109632280722269,5.397621026584707,-0.3977019221471978,-8.65621792254376
0.020202020202020204,0.3434343434343435,0.10539706066975545,5.189104769720802,-0.4405901482309013,-8.321818350784804
0.020202020202020204,0.3535353535353536,0.10073744385316061,4.959693819411427,-0.48170427329122617,-7.9539097536611685
0.020202020202020204,0.36363636363636365,0.0956721929048222,4.710311932584311,-0.5208787452575289,-7.553973569242427
0.020202020202020204,0.37373737373737376,0.09022170380256038,4.4419632820799215,-0.5579558223575872,-7.1236201993882435
0.020202020202020204,0.38383838383838387,0.08440792374227386,4.155728413201861,-0.5927862082880422,-6.6645825252284885
0.020202020202020204,0.393939393939394,0.07825426276432786,3.852759892742281,-0.6252296533779197,-6.178708929462506
0.020202020202020204,0.4040404040404041,0.07178549948958433,3.5342776680022254,-0.6551555193245546,-5.667955853574395
0.020202020202020204,0.4141414141414142,0.06502768134464106,3.2015641544944073,-0.6824433052279275,-5.134379919933646
0.020202020202020204,0.42424242424242425,0.05800801967803782,2.8559590721085586,-0.7069831328052596,-4.580129650502721
0.020202020202020204,0.43434343434343436,0.050754780189760165,2.498854050532285,-0.7286761888320765,-4.007436815497439
0.020202020202020204,0.4444444444444445,0.04329716911524176,2.131687025649484,-0.7474351230281869,-3.418607446836002
0.020202020202020204,0.4545454545454546,0.03566521562216236,1.755936449480048,-0.7631843997864319,-2.8160125525623565
0.020202020202020204,0.4646464646464647,0.027889650893588077,1.373115336975381,-0.7758606023279155,-2.202078569633621
0.020202020202020204,0.4747474747474748,0.020001784384343812,0.9847651736412164,-0.7854126880589894,-1.5792775935148806
0.020202020202020204,0.48484848484848486,0.01203337774888907,0.5924497085195358,-0.7918021941017641,-0.9501174239232505
0.020202020202020204,0.494949494949495,0.004016516948345134,0.19774865752307452,-0.7950033921705414,-0.317131466803497
0.020202020202020204,0.5050505050505051,-0.00401651694834516,-0.19774865752307577,-0.7950033921705414,0.3171314668034991
0.020202020202020204,0.5151515151515152,-0.012033377748889096,-0.592449708519537,-0.7918021941017641,0.9501174239232526
